2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.111,0.091,0.075,0.145,0.096,0.127,0.061,0.176,0.149,0.038
0.058,0.181,0.115,0.14,0.122,0.113,0.06,0.132,0.08,0.043
0.054,0.126,0.05,0.145,0.073,0.109,0.068,0.156,0.04,0.059
0.063,0.126,0.068,0.129,0.101,0.112,0.07,0.221,0.044,0.064
0.086,0.127,0.086,0.136,0.069,0.062,0.069,0.135,0.083,0.076
0.137,0.186,0.123,0.115,0.128,0.064,0.095,0.124,0.076,0.08
0.194,0.138,0.12,0.136,0.099,0.064,0.084,0.18,0.073,0.073
0.147,0.111,0.081,0.114,0.105,0.098,0.162,0.118,0.099,0.068
0.092,0.11,0.063,0.092,0.227,0.091,0.125,0.058,0.109,0.06
0.101,0.109,0.078,0.094,0.171,0.064,0.097,0.04,0.071,0.115
0.079,0.119,0.108,0.169,0.137,0.118,0.135,0.036,0.093,0.169
0.111,0.12,0.074,0.185,0.105,0.109,0.102,0.055,0.135,0.085
0.143,0.165,0.056,0.229,0.113,0.113,0.101,0.126,0.124,0.072
0.241,0.131,0.051,0.238,0.092,0.104,0.173,0.103,0.102,0.06
0.194,0.039,0.066,0.162,0.1,0.112,0.19,0.097,0.114,0.093
0.086,0.034,0.132,0.172,0.145,0.194,0.136,0.186,0.053,0.099
0.07,0.052,0.271,0.173,0.175,0.366,0.065,0.184,0.052,0.108
0.118,0.099,0.16,0.162,0.158,0.109,0.074,0.068,0.136,0.095
0.242,0.1,0.073,0.222,0.134,0.091,0.117,0.058,0.425,0.102
0.439,0.109,0.093,0.245,0.116,0.142,0.102,0.051,0.122,0.095
0.135,0.125,0.125,0.122,0.169,0.129,0.143,0.083,0.146,0.091
0.169,0.13,0.103,0.054,0.094,0.284,0.132,0.208,0.08,0.101
0.196,0.196,0.11,0.11,0.095,0.109,0.231,0.148,0.074,0.103
0.143,0.106,0.076,0.134,0.217,0.092,0.322,0.072,0.066,0.121
0.088,0.131,0.085,0.132,0.133,0.065,0.171,0.135,0.116,0.096
0.055,0.174,0.083,0.141,0.25,0.086,0.1,0.136,0.097,0.071
0.108,0.177,0.079,0.185,0.224,0.109,0.071,0.212,0.101,0.077
0.154,0.119,0.081,0.231,0.143,0.112,0.1,0.247,0.085,0.109
0.169,0.103,0.06,0.3,0.083,0.13,0.079,0.232,0.083,0.113
0.184,0.064,0.071,0.22,0.156,0.17,0.11,0.148,0.141,0.118
0.131,0.11,0.059,0.12,0.051,0.362,0.129,0.226,0.081,0.11
0.278,0.14,0.079,0.123,0.058,0.318,0.191,0.277,0.074,0.091
0.263,0.174,0.025,0.123,0.102,0.21,0.356,0.436,0.109,0.129
0.118,0.088,0.02,0.152,0.062,0.096,0.132,0.253,0.153,0.365
0.131,0.055,0.026,0.138,0.049,0.072,0.089,0.132,0.2,0.203
0.157,0.084,0.062,0.175,0.163,0.105,0.086,0.104,0.133,0.211
0.211,0.158,0.096,0.119,0.124,0.149,0.066,0.095,0.128,0.099
0.226,0.205,0.094,0.119,0.125,0.13,0.1,0.094,0.259,0.037
0.234,0.183,0.106,0.131,0.265,0.113,0.08,0.228,0.292,0.106
0.259,0.229,0.124,0.103,0.121,0.124,0.116,0.272,0.163,0.131
0.29,0.291,0.138,0.121,0.078,0.138,0.276,0.131,0.15,0.149
0.2,0.218,0.1,0.066,0.115,0.13,0.176,0.104,0.128,0.301
0.132,0.126,0.044,0.073,0.15,0.142,0.142,0.129,0.132,0.368
0.045,0.11,0.072,0.077,0.375,0.162,0.069,0.12,0.106,0.217
0.037,0.057,0.171,0.098,0.134,0.127,0.072,0.147,0.084,0.081
0.041,0.086,0.079,0.143,0.072,0.208,0.096,0.139,0.109,0.05
0.069,0.119,0.09,0.187,0.072,0.288,0.15,0.245,0.123,0.053
0.103,0.176,0.143,0.227,0.103,0.298,0.246,0.211,0.22,0.074
0.171,0.127,0.135,0.062,0.084,0.114,0.388,0.122,0.136,0.07
