2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.031,0.022,0.026,0.036,0.021,0.009,0.010,0.010,0.020,0.056
0.030,0.019,0.020,0.018,0.018,0.007,0.009,0.011,0.013,0.054
0.045,0.021,0.015,0.025,0.026,0.009,0.010,0.015,0.017,0.057
0.028,0.018,0.024,0.038,0.021,0.011,0.012,0.011,0.020,0.056
0.034,0.020,0.027,0.038,0.018,0.010,0.008,0.012,0.017,0.053
0.041,0.023,0.016,0.049,0.018,0.011,0.010,0.013,0.026,0.050
0.040,0.022,0.025,0.032,0.031,0.013,0.011,0.013,0.028,0.033
0.024,0.021,0.025,0.032,0.028,0.012,0.015,0.014,0.018,0.056
0.019,0.030,0.031,0.033,0.024,0.010,0.013,0.014,0.019,0.062
0.019,0.034,0.027,0.046,0.010,0.013,0.013,0.011,0.020,0.045
0.017,0.018,0.037,0.044,0.015,0.014,0.009,0.011,0.025,0.052
0.031,0.025,0.034,0.050,0.018,0.014,0.012,0.012,0.026,0.051
0.033,0.028,0.019,0.045,0.014,0.019,0.012,0.009,0.023,0.054
0.050,0.023,0.022,0.026,0.021,0.023,0.014,0.011,0.015,0.052
0.054,0.015,0.018,0.029,0.017,0.018,0.013,0.015,0.019,0.057
0.047,0.028,0.037,0.019,0.016,0.015,0.009,0.018,0.023,0.051
0.044,0.028,0.037,0.021,0.015,0.018,0.012,0.017,0.024,0.049
0.014,0.030,0.016,0.022,0.026,0.019,0.018,0.013,0.024,0.052
0.026,0.027,0.020,0.018,0.033,0.019,0.021,0.015,0.025,0.047
0.026,0.033,0.018,0.016,0.031,0.021,0.018,0.012,0.021,0.053
0.037,0.030,0.006,0.026,0.029,0.022,0.012,0.013,0.021,0.046
0.037,0.025,0.008,0.017,0.027,0.019,0.017,0.015,0.017,0.051
0.052,0.026,0.007,0.021,0.029,0.021,0.016,0.010,0.011,0.014
0.054,0.016,0.005,0.030,0.022,0.021,0.016,0.016,0.018,0.043
0.052,0.013,0.013,0.017,0.029,0.014,0.014,0.019,0.014,0.039
0.024,0.018,0.008,0.020,0.022,0.010,0.011,0.016,0.020,0.050
0.020,0.024,0.008,0.015,0.024,0.016,0.013,0.012,0.026,0.052
0.031,0.022,0.009,0.015,0.023,0.025,0.013,0.014,0.013,0.052
0.039,0.013,0.009,0.023,0.026,0.018,0.011,0.011,0.018,0.055
0.044,0.018,0.008,0.023,0.020,0.017,0.011,0.015,0.028,0.053
0.026,0.023,0.012,0.033,0.021,0.017,0.013,0.015,0.027,0.053
0.042,0.049,0.008,0.025,0.029,0.018,0.012,0.018,0.021,0.052
0.034,0.042,0.011,0.034,0.018,0.016,0.014,0.016,0.020,0.055
0.031,0.027,0.014,0.025,0.024,0.012,0.012,0.021,0.023,0.051
0.037,0.035,0.011,0.022,0.026,0.016,0.012,0.021,0.024,0.056
0.046,0.060,0.012,0.015,0.020,0.013,0.013,0.016,0.027,0.054
0.030,0.048,0.007,0.014,0.026,0.019,0.022,0.012,0.021,0.053
0.032,0.043,0.006,0.016,0.024,0.012,0.017,0.017,0.019,0.049
0.026,0.045,0.007,0.016,0.017,0.013,0.017,0.013,0.022,0.051
0.048,0.058,0.008,0.021,0.022,0.013,0.017,0.018,0.021,0.050
0.054,0.056,0.011,0.025,0.031,0.017,0.015,0.015,0.020,0.056
0.023,0.035,0.010,0.023,0.031,0.011,0.010,0.023,0.018,0.054
0.033,0.040,0.010,0.018,0.021,0.010,0.015,0.019,0.019,0.057
0.041,0.039,0.015,0.020,0.024,0.013,0.015,0.019,0.022,0.058
0.040,0.061,0.026,0.024,0.024,0.019,0.017,0.021,0.033,0.056
0.038,0.068,0.023,0.026,0.017,0.016,0.016,0.017,0.021,0.098
0.032,0.053,0.020,0.036,0.016,0.017,0.017,0.020,0.018,0.063
0.028,0.015,0.012,0.037,0.025,0.022,0.017,0.020,0.019,0.060
0.033,0.018,0.015,0.026,0.027,0.029,0.014,0.015,0.023,0.053
0.039,0.033,0.009,0.026,0.017,0.026,0.027,0.015,0.028,0.052
0.046,0.051,0.012,0.023,0.017,0.022,0.040,0.013,0.024,0.049
0.040,0.070,0.021,0.023,0.018,0.025,0.019,0.014,0.020,0.052
0.045,0.067,0.022,0.027,0.021,0.024,0.023,0.015,0.027,0.056
0.029,0.081,0.018,0.026,0.019,0.014,0.018,0.014,0.021,0.057
0.011,0.060,0.018,0.041,0.024,0.021,0.057,0.011,0.018,0.054
0.015,0.036,0.021,0.034,0.019,0.025,0.044,0.013,0.022,0.052
0.019,0.051,0.019,0.015,0.022,0.034,0.052,0.023,0.029,0.054
0.019,0.043,0.013,0.018,0.015,0.036,0.040,0.019,0.034,0.057
0.021,0.047,0.018,0.037,0.013,0.040,0.047,0.022,0.035,0.065
0.029,0.041,0.015,0.021,0.024,0.035,0.048,0.014,0.037,0.049
0.018,0.087,0.016,0.048,0.027,0.028,0.013,0.014,0.017,0.055
0.022,0.055,0.006,0.029,0.017,0.052,0.050,0.014,0.018,0.057
0.025,0.038,0.011,0.024,0.020,0.044,0.046,0.026,0.017,0.065
0.023,0.050,0.017,0.019,0.012,0.035,0.036,0.019,0.024,0.068
0.038,0.084,0.024,0.020,0.025,0.034,0.047,0.016,0.026,0.065
0.051,0.056,0.024,0.022,0.019,0.036,0.032,0.026,0.028,0.071
0.037,0.055,0.018,0.021,0.014,0.037,0.017,0.016,0.030,0.076
0.026,0.046,0.013,0.013,0.030,0.040,0.025,0.014,0.018,0.062
0.035,0.038,0.015,0.021,0.029,0.036,0.018,0.009,0.022,0.076
0.022,0.038,0.022,0.033,0.027,0.046,0.030,0.011,0.022,0.074
0.036,0.051,0.018,0.040,0.022,0.056,0.034,0.012,0.024,0.071
0.054,0.072,0.012,0.044,0.018,0.049,0.030,0.022,0.022,0.067
0.072,0.049,0.013,0.025,0.016,0.052,0.043,0.016,0.023,0.058
0.046,0.017,0.010,0.018,0.020,0.048,0.038,0.017,0.019,0.065
